Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8038379530916845,0.6475903614457831,0.5748663101604278,0.6090651558073654,0.8356727976766699
Decision Tree,0.7185501066098081,0.4701086956521739,0.4625668449197861,0.46630727762803237,0.636638004669438
Random Forest,0.7896233120113717,0.6258064516129033,0.5187165775401069,0.5672514619883041,0.8164903116927489
Gradient Boosting,0.7953091684434968,0.6378205128205128,0.5320855614973262,0.5801749271137027,0.8406619005958451
